M,N,K,PerfAPI
96,96,96,,51.483
192,192,192,,256.859
288,288,288,,648.871
384,384,384,,1192.53
480,480,480,,1752.34
576,576,576,,2303.47
672,672,672,,3066.44
768,768,768,,3104.22
864,864,864,,3730.56
960,960,960,,4346.41
1056,1056,1056,,3904.07
1152,1152,1152,,4345.99
1248,1248,1248,,4137.62
1344,1344,1344,,4618.68
1440,1440,1440,,4361.7
1536,1536,1536,,4791.14
1632,1632,1632,,4650.54
1728,1728,1728,,5113.57
1824,1824,1824,,4890.95
1920,1920,1920,,4842.71
2016,2016,2016,,5236.36
2112,2112,2112,,5121.58
2208,2208,2208,,5092.94
2304,2304,2304,,5082.43
2400,2400,2400,,5075.03
2496,2496,2496,,5056.89
2592,2592,2592,,5077.26
2688,2688,2688,,5333.36
2784,2784,2784,,5128.62
2880,2880,2880,,5158.05
2976,2976,2976,,5184.34
3072,3072,3072,,5192.49
3168,3168,3168,,5255.59
3264,3264,3264,,5269.33
3360,3360,3360,,5191.78
3456,3456,3456,,5165.66
3552,3552,3552,,5091.32
3648,3648,3648,,5138.2
3744,3744,3744,,5038.53
3840,3840,3840,,5096.66
3936,3936,3936,,5022.38
4032,4032,4032,,5076.8
4128,4128,4128,,5023.84
4224,4224,4224,,5082.69
4320,4320,4320,,5046.32
4416,4416,4416,,5090.55
4512,4512,4512,,5071.99
4608,4608,4608,,5047.99
4704,4704,4704,,5097.02
4800,4800,4800,,5085
4896,4896,4896,,5076.24
4992,4992,4992,,5065.2
5088,5088,5088,,5064.14
